"sale_date","product_unit_sales","discount_amount (Rs.)","mrp_amount (Rs.)","product"
"7/30/2016","1469","841262.54","2772121","shirt"
"12/24/2016","2668","951832.49","5265812","shirt"
"9/5/2016","595","20077.38","1112225","shirt"
"9/8/2016","655","127786.36","1238535","shirt"
"7/17/2016","2561","1385088.7","4822249","shirt"
"7/16/2016","1866","1029237.51","3513634","shirt"
"1/27/2016","685","217953.25","1234575","shirt"
"2/9/2016","934","295979.32","1676546","shirt"
"12/26/2016","980","355347.95","1951970","shirt"
"2/7/2016","2328","937564.17","4192942","shirt"
"10/25/2016","1018","323657.55","1989552","shirt"
"10/3/2016","614","164331.5","1173446","shirt"
"5/27/2016","587","232626.54","1077073","shirt"
"4/9/2016","1067","40450.56","1925683","shirt"
"6/27/2016","562","266003.08","1073668","shirt"
"11/24/2016","489","13326.77","955851","shirt"
"1/24/2016","2121","1006877.49","3845649","shirt"
"4/19/2016","723","20063.98","1300537","shirt"
"8/17/2016","365","4050.17","678965","shirt"
"6/15/2016","342","55188.67","621358","shirt"
"3/29/2016","438","54285.92","790612","shirt"
"3/8/2016","444","37784.3","784376","shirt"
"2/20/2016","805","42346.32","1427755","shirt"
"6/20/2016","1922","1079238.89","3643028","shirt"
"6/4/2016","587","92705.82","1047403","shirt"
"10/23/2016","2286","737513.14","4473184","shirt"
"11/17/2016","543","49990.21","1038537","shirt"
"9/14/2016","355","11549.74","669725","shirt"
"2/18/2016","546","30940.58","969314","shirt"
"10/24/2016","940","300098.81","1868640","shirt"
"9/11/2016","1035","37797.84","1952325","shirt"
"4/22/2016","899","185646.58","1588941","shirt"
"7/15/2016","992","480542.01","1867548","shirt"
"9/22/2016","375","84241.2","723855","shirt"
"1/20/2016","749","235037.39","1348411","shirt"
"6/12/2016","713","116318.49","1289827","shirt"
"2/2/2016","783","212660.7","1404067","shirt"
"6/24/2016","479","203143.4","880101","shirt"
"8/8/2016","694","353736.8","1301616","shirt"
"5/1/2016","882","27515.03","1532168","shirt"
